Codigo del diagnostico,Nombre del diagnostico,Sexo del diagnostico
K778,TRASTORNOS DEL HIGADO EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
K800,CALCULO DE LA VESICULA BILIAR CON COLECISTITIS AGUDA,A
K801,CALCULO DE LA VESICULA BILIAR CON OTRA COLECISTITIS,A
K802,CALCULO DE LA VESICULA BILIAR SIN COLECISTITIS,A
K803,CALCULO DE CONDUCTO BILIAR CON COLANGITIS,A
K804,CALCULO DE CONDUCTO BILIAR CON COLECISTITIS,A
K805,CALCULO DE CONDUCTO BILIAR SIN COLANGITIS NI COLECISTITIS,A
K808,OTRAS COLELITIASIS,A
K810,COLECISTITIS AGUDA,A
K811,COLECISTITIS CRONICA,A
K818,OTRAS COLECISTITIS,A
K819,COLECISTITIS. NO ESPECIFICADA,A
K820,OBSTRUCCION DE LA VESICULA BILIAR,A
K821,HIDROPESIA DE LA VESICULA BILIAR,A
K822,PERFORACION DE LA VESICULA BILIAR,A
K823,FISTULA DE LA VESICULA BILIAR,A
K824,COLESTEROLOSIS DE LA VESICULA BILIAR,A
K828,OTRAS ENFERMEDADES ESPECIFICADAS DE LA VESICULA BILIAR,A
K829,ENFERMEDAD DE LA VESICULA BILIAR. NO ESPECIFICADA,A
K830,COLANGITIS,A
K831,OBSTRUCCION DEL CONDUCTO BILIAR,A
K832,PERFORACION DEL CONDUCTO BILIAR,A
K833,FISTULA DEL CONDUCTO BILIAR,A
K834,ESPASMO DEL ESFINTER DE ODDI,A
K835,QUISTE BILIAR,A
K838,OTRAS ENFERMEDADES ESPECIFICADAS DE LAS VIAS BILIARES,A
K839,ENFERMEDAD DE LAS VIAS BILIARES. NO ESPECIFICADA,A
K850,PANCREATITIS IDIOPATICA AGUDA,A
K851,PANCREATITIS BILIAR AGUDA,A
K852,PANCREATITIS AGUDA INDUCIDA POR ALCOHOL,A
K853,PANCREATITITS AGUDA INDUCIDA POR DROGAS,A
K858,OTRAS PANCREATITIS AGUDAS,A
K859,PANCREATITIS AGUDA. NO ESPECIFICADA,A
K85X,ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93),A
K860,PANCREATITIS CRONICA INDUCIDA POR EL ALCOHOL,A
K861,OTRAS PANCREATITIS CRONICAS,A
K862,QUISTE DEL PANCREAS,A
K863,SEUDOQUISTE DEL PANCREAS,A
K868,OTRAS ENFERMEDADES ESPECIFICADAS DEL PANCREAS,A
K869,ENFERMEDAD DEL PANCREAS. NO ESPECIFICADA,A
K870,TRASTORNOS DE LA VESICULA BILIAR Y DE LAS VIAS BILIARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
K871,TRASTORNOS DEL PANCREAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
K900,ENFERMEDAD CELIACA,A
K901,ESPRUE TROPICAL,A
K902,SINDROME DEL ASA CIEGA. NO CLASIFICADO EN OTRA PARTE,A
K903,ESTEATORREA PANCREATICA,A
K904,MALABSORCION DEBIDA A INTOLERANCIA. NO CLASIFICADA EN OTRA PARTE,A
K908,OTROS TIPOS DE MALABSORCION INTESTINAL,A
K909,MALABSORCION INTESTINAL. NO ESPECIFICADA,A
K910,VOMITO POSTCIRUGIA GASTROINTESTINAL,A
K911,SINDROMES CONSECUTIVOS A LA CIRUGIA GASTRICA,A
K912,MALABSORCION POSTQUIRURGICA. NO CLASIFICADA EN OTRA PARTE,A
K913,OBSTRUCCION INTESTINAL POSTOPERATORIA,A
K914,DISFUNCION DE COLOSTOMIA O ENTEROSTOMIA,A
K915,SINDROME DE POSTCOLECISTECTOMIA,A
K918,OTROS TRASTORNOS DEL SISTEMA DIGESTIVO CONSECUTIVOS A PROCEDIMIENTOS. NO CLASIFICADOS EN OTRA PARTE,A
K919,TRASTORNO NO ESPECIFICADO DEL SISTEMA DIGESTIVO CONSECUTIVO A PROCEDIMIENTOS,A
K920,HEMATEMESIS,A
K921,MELENA,A
K922,HEMORRAGIA GASTROINTESTINAL. NO ESPECIFICADA,A
K928,OTRAS ENFERMEDADES ESPECIFICADAS DEL SISTEMA DIGESTIVO,A
K929,ENFERMEDAD DEL SISTEMA DIGESTIVO. NO ESPECIFICADA,A
K930,TRASTORNOS TUBERCULOSOS DEL INTESTINO. PERITONEO Y GANGLIOS MESENTERICOS,A
K931,MEGACOLON EN LA ENFERMEDAD DE CHAGAS,A
K938,TRASTORNOS DE OTROS ORGANOS DIGESTIVOS ESPECIFICADOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
L00X,SINDROME ESTAFILOCOCICO DE LA PIEL ESCALDADA,A
L010,IMPETIGO [CUALQUIER SITIO ANATOMICO] [CUALQUIER ORGANISMO],A
L011,IMPETIGINIZACION DE OTRAS DERMATOSIS,A
L020,ABSCESO CUTANEO. FURUNCULO Y ANTRAX DE LA CARA,A
L021,ABSCESO CUTANEO. FURUNCULO Y ANTRAX DEL CUELLO,A
L022,ABSCESO CUTANEO. FURUNCULO Y ANTRAX DEL TRONCO,A
L023,ABSCESO CUTANEO. FURUNCULO Y ANTRAX DE GLUTEOS,A
L024,ABSCESO CUTANEO. FURUNCULO Y ANTRAX DE MIEMBRO,A
L028,ABSCESO CUTANEO. FURUNCULO Y ANTRAX DE OTROS SITIOS,A
L029,ABSCESO CUTANEO. FURUNCULO Y ANTRAX DE SITIO NO ESPECIFICADO,A
L030,CELULITIS DE LOS DEDOS DE LA MANO Y DEL PIE,A
L031,CELULITIS DE OTRAS PARTES DE LOS MIEMBROS,A
L032,CELULITIS DE LA CARA,A
L033,CELULITIS DEL TRONCO,A
L038,CELULITIS DE OTROS SITIOS,A
L039,CELULITIS DE SITIO NO ESPECIFICADO,A
L040,LINFADENITIS AGUDA DE CARA. CABEZA Y CUELLO,A
L041,LINFADENITIS AGUDA DEL TRONCO,A
L042,LINFADENITIS AGUDA DEL MIEMBRO SUPERIOR,A
L043,LINFADENITIS AGUDA DEL MIEMBRO INFERIOR,A
L048,LINFADENITIS AGUDA DE OTROS SITIOS,A
L049,LINFADENITIS AGUDA DE SITIO NO ESPECIFICADO,A
L050,QUISTE PILONIDAL CON ABSCESO,A
L059,QUISTE PILONIDAL SIN ABSCESO,A
L080,PIODERMA,A
L081,ERITRASMA,A
L088,OTRAS INFECCIONES LOCALES ESPECIFICADAS DE LA PIEL Y DEL TEJIDO SUBCUTANEO,A
L089,INFECCION LOCAL DE LA PIEL Y DEL TEJIDO SUBCUTANEO. NO ESPECIFICADA,A
L100,PENFIGO VULGAR,A
L101,PENFIGO VEGETANTE,A
L102,PENFIGO FOLIACEO,A
L103,PENFIGO BRASILENO [FOGO SELVAGEM],A
L104,PENFIGO ERITEMATOSO,A
L105,PENFIGO INDUCIDO POR DROGAS,A
L108,OTROS PENFIGOS,A
L109,PENFIGO. NO ESPECIFICADO,A
L110,QUERATOSIS FOLICULAR ADQUIRIDA,A
L111,DERMATOSIS ACANTOLITICA TRANSITORIA [GROVER],A
L118,OTROS TRASTORNOS ACANTOLITICOS ESPECIFICADOS,A
L119,TRASTORNO ACANTOLITICO. NO ESPECIFICADO,A
L120,PENFIGOIDE FLICTENULAR,A
L121,PENFIGOIDE CICATRICIAL,A
L122,ENFERMEDAD FLICTENULAR CRONICA DE LA INFANCIA,A
L123,EPIDERMOLISIS BULLOSA ADQUIRIDA,A
L128,OTROS PENFIGOIDES,A
L129,PENFIGOIDE. NO ESPECIFICADO,A
L130,DERMATITIS HERPETIFORME,A
L131,DERMATITIS PUSTULOSA SUBCORNEAL,A
L138,OTROS TRASTORNOS FLICTENULARES ESPECIFICADOS,A
L139,TRASTORNO FLICTENULAR. NO ESPECIFICADO,A
L14X,TRASTORNOS FLICTENULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
L200,PRURIGO DE BESNIER,A
L208,OTRAS DERMATITIS ATOPICAS,A
L209,DERMATITIS ATOPICA. NO ESPECIFICADA,A
L210,SEBORREA CAPITIS,A
L211,DERMATITIS SEBORREICA INFANTIL,A
L218,OTRAS DERMATITIS SEBORREICAS,A
L219,DERMATITIS SEBORREICA. NO ESPECIFICADA,A
L22X,DERMATITIS DEL PANAL,A
L230,DERMATITIS ALERGICA DE CONTACTO DEBIDA A METALES,A
L231,DERMATITIS ALERGICA DE CONTACTO DEBIDA A ADHESIVOS,A
L232,DERMATITIS ALERGICA DE CONTACTO DEBIDA A COSMETICOS,A
L233,DERMATITIS ALERGICA DE CONTACTO DEBIDA A DROGAS EN CONTACTO CON LA PIEL,A
L234,DERMATITIS ALERGICA DE CONTACTO DEBIDA A COLORANTES,A
L235,DERMATITIS ALERGICA DE CONTACTO DEBIDA A OTROS PRODUCTOS QUIMICOS,A
L236,DERMATITIS ALERGICA DE CONTACTO DEBIDA A ALIMENTOS EN CONTACTO CON LA PIEL,A
L237,DERMATITIS ALERGICA DE CONTACTO DEBIDA A PLANTAS. EXCEPTO LAS ALIMENTICIAS,A
L238,DERMATITIS ALERGICA DE CONTACTO DEBIDA A OTROS AGENTES,A
L239,DERMATITIS ALERGICA DE CONTACTO. DE CAUSA NO ESPECIFICADA,A
L240,DERMATITIS DE CONTACTO POR IRRITANTES. DEBIDA A DETERGENTES,A
L241,DERMATITIS DE CONTACTO POR IRRITANTES. DEBIDA A ACEITES Y GRASAS,A
L242,DERMATITIS DE CONTACTO POR IRRITANTES. DEBIDA A DISOLVENTES,A
L243,DERMATITIS DE CONTACTO POR IRRITANTES. DEBIDA A COSMETICOS,A
L244,DERMATITIS DE CONTACTO POR IRRITANTES. DEBIDA A DROGAS EN CONTACTO CON LA PIEL,A
L245,DERMATITIS DE CONTACTO POR IRRITANTES. DEBIDA A OTROS PRODUCTOS QUIMICOS,A
L246,DERMATITIS DE CONTACTO POR IRRITANTES. DEBIDA A ALIMENTOS EN CONTACTO CON LA PIEL,A
L247,DERMATITIS DE CONTACTO POR IRRITANTES. DEBIDA A PLANTAS. EXCEPTO LAS ALIMENTICIAS,A
L248,DERMATITIS DE CONTACTO POR IRRITANTES. DEBIDA A OTROS AGENTES,A
L249,DERMATITIS DE CONTACTO POR IRRITANTES. DE CAUSA NO ESPECIFICADA,A
L250,DERMATITIS DE CONTACTO. FORMA NO ESPECIFICADA. DEBIDA A COSMETICOS,A
L251,DERMATITIS DE CONTACTO. FORMA NO ESPECIFICADA. DEBIDA A DROGAS EN CONTACTO CON LA PIEL,A
L252,DERMATITIS DE CONTACTO. FORMA NO ESPECIFICADA. DEBIDA A COLORANTES,A
L253,DERMATITIS DE CONTACTO. FORMA NO ESPECIFICADA. DEBIDA A OTROS PRODUCTOS QUIMICOS,A
L254,DERMATITIS DE CONTACTO. FORMA NO ESPECIFICADA. DEBIDA A ALIMENTOS EN CONTACTO CON LA PIEL,A
L255,DERMATITIS DE CONTACTO. FORMA NO ESPECIFICADA. DEBIDA A PLANTAS. EXCEPTO LAS ALIMENTICIAS,A
L258,DERMATITIS DE CONTACTO. FORMA NO ESPECIFICADA. DEBIDA A OTROS AGENTES,A
L259,DERMATITIS DE CONTACTO. FORMA Y CAUSA NO ESPECIFICADAS,A
L26X,DERMATITIS EXFOLIATIVA,A
L270,ERUPCION CUTANEA GENERALIZADA DEBIDA A DROGAS Y MEDICAMENTOS,A
L271,ERUPCION CUTANEA LOCALIZADA DEBIDA A DROGAS Y MEDICAMENTOS,A
L272,DERMATITIS DEBIDA A INGESTION DE ALIMENTOS,A
L278,DERMATITIS DEBIDA A OTRAS SUSTANCIAS INGERIDAS,A
L279,DERMATITIS DEBIDA A SUSTANCIAS INGERIDAS NO ESPECIFICADAS,A
L280,LIQUEN SIMPLE CRONICO,A
L281,PRURIGO NODULAR,A
L282,OTROS PRURIGOS,A
L290,PRURITO ANAL,A
L291,PRURITO ESCROTAL,M
L292,PRURITO VULVAR,F
L293,PRURITO ANOGENITAL. NO ESPECIFICADO,A
L298,OTROS PRURITOS,A
L299,PRURITO. NO ESPECIFICADO,A
L300,DERMATITIS NUMULAR,A
L301,DISHIDROSIS [PONFOLIX],A
L302,AUTOSENSIBILIZACION CUTANEA,A
L303,DERMATITIS INFECCIOSA,A
L304,ERITEMA INTERTRIGO,A
L305,PITIRIASIS ALBA,A
L308,OTRAS DERMATITIS ESPECIFICADAS,A
L309,DERMATITIS. NO ESPECIFICADA,A
L400,PSORIASIS VULGAR,A
L401,PSORIASIS PUSTULOSA GENERALIZADA,A
L402,ACRODERMATITIS CONTINUA,A
L403,PUSTULOSIS PALMAR Y PLANTAR,A
L404,PSORIASIS GUTTATA,A
L405,ARTROPATIA PSORIASICA,A
L408,OTRAS PSORIASIS,A
L409,PSORIASIS. NO ESPECIFICADA,A
L410,PITIRIASIS LIQUENOIDE Y VARIOLIFORME AGUDA,A
L411,PITIRIASIS LIQUENOIDE CRONICA,A
L412,PAPULOSIS LINFOMATOIDE,A
L413,PARAPSORIASIS EN PLACAS PEQUENAS,A
L414,PARAPSORIASIS EN PLACAS GRANDES,A
L415,PARAPSORIASIS RETIFORME,A
L418,OTRAS PARAPSORIASIS,A
L419,PARAPSORIASIS. NO ESPECIFICADA,A
L42X,PITIRIASIS ROSADA,A
L430,LIQUEN PLANO HIPERTROFICO,A
L431,LIQUEN PLANO FLICTENULAR,A
L432,REACCION LIQUENOIDE DEBIDA A DROGAS,A
L433,LIQUEN PLANO SUBAGUDO (ACTIVO),A
L438,OTROS LIQUENES PLANOS,A
L439,LIQUEN PLANO. NO ESPECIFICADO,A
L440,PITIRIASIS RUBRA PILARIS,A
L441,LIQUEN NITIDO,A
L442,LIQUEN ESTRIADO,A
L443,LIQUEN ROJO MONILIFORME,A
L444,ACRODERMATITIS PAPULAR INFANTIL [GIANNOTTI-CROSTI],A
L448,OTROS TRASTORNOS PAPULOESCAMOSOS ESPECIFICADOS,A
L449,TRASTORNO PAPULOESCAMOSO. NO ESPECIFICADO,A
L45X,TRASTORNOS PAPULOESCAMOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
L500,URTICARIA ALERGICA,A
L501,URTICARIA IDIOPATICA,A
L502,URTICARIA DEBIDA AL CALOR Y AL FRIO,A
L503,URTICARIA DERMATOGRAFICA,A
L504,URTICARIA VIBRATORIA,A
L505,URTICARIA COLINERGICA,A
L506,URTICARIA POR CONTACTO,A
L508,OTRAS URTICARIAS,A
L509,URTICARIA. NO ESPECIFICADA,A
L510,ERITEMA MULTIFORME NO FLICTENULAR,A
L511,ERITEMA MULTIFORME FLICTENULAR,A
L512,NECROLISIS EPIDERMICA TOXICA [LYELL],A
L518,OTROS ERITEMAS MULTIFORMES,A
L519,ERITEMA MULTIFORME. NO ESPECIFICADO,A
L52X,ERITEMA NUDOSO,A
L530,ERITEMA TOXICO,A
L531,ERITEMA ANULAR CENTRIFUGO,A
L532,ERITEMA MARGINADO,A
L533,OTROS ERITEMAS FIGURADOS CRONICOS,A
L538,OTRAS AFECCIONES ERITEMATOSAS ESPECIFICADAS,A
L539,AFECCION ERITEMATOSA. NO ESPECIFICADA,A
L540,ERITEMA MARGINADO EN LA FIEBRE REUMATICA AGUDA,A
L548,ERITEMA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
L550,QUEMADURA SOLAR DE PRIMER GRADO,A
L551,QUEMADURA SOLAR DE SEGUNDO GRADO,A
L552,QUEMADURA SOLAR DE TERCER GRADO,A
L558,OTRAS QUEMADURAS SOLARES,A
L559,QUEMADURA SOLAR. NO ESPECIFICADA,A
L560,RESPUESTA FOTOTOXICA A DROGAS,A
L561,RESPUESTA FOTOALERGICA A DROGAS,A
L562,DERMATITIS POR FOTOCONTACTO [DERMATITIS DE BERLOQUE],A
L563,URTICARIA SOLAR,A
L564,ERUPCION POLIMORFA A LA LUZ,A
L568,OTROS CAMBIOS AGUDOS ESPECIFICADOS DE LA PIEL DEBIDOS A RADIACION ULTRAVIOLETA,A
L569,CAMBIO AGUDO DE LA PIEL DEBIDO A RADIACION ULTRAVIOLETA. SIN OTRA ESPECIFICACION,A
L570,QUERATOSIS ACTINICA,A
L571,RETICULOIDE ACTINICO,A
L572,PIEL ROMBOIDAL DE LA NUCA,A
L573,POIQUILODERMIA DE CIVATTE,A
L574,PIEL LAXA SENIL,A
L575,GRANULOMA ACTINICO,A
L578,OTROS CAMBIOS DE LA PIEL DEBIDOS A EXPOSICION CRONICA A RADIACION NO IONIZANTE,A
L579,CAMBIOS DE LA PIEL DEBIDOS A EXPOSICION CRONICA A RADIACION NO IONIZANTE. SIN OTRA ESPECIFICACION,A
L580,RADIODERMATITIS AGUDA,A
L581,RADIODERMATITIS CRONICA,A
L589,RADIODERMATITIS. NO ESPECIFICADA,A
L590,ERITEMA AB IGNE [DERMATITIS AB IGNE],A
L598,OTROS TRASTORNOS ESPECIFICADOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO RELACIONADOS CON RADIACION,A
L599,TRASTORNOS NO ESPECIFICADOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO RELACIONADOS CON RADIACION,A
L600,UNA ENCARNADA,A
L601,ONICOLISIS,A
L602,ONICOGRIPOSIS,A
L603,DISTROFIA UNGUEAL,A
L604,LINEAS DE BEAU,A
L605,SINDROME DE LA UNA AMARILLA,A
L608,OTROS TRASTORNOS DE LAS UNAS,A
L609,TRASTORNO DE LA UNA. NO ESPECIFICADO,A
L620,UNA DEFORME DE LA PAQUIDERMOPERIOSTOSIS,A
L628,TRASTORNOS DE LAS UNAS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
L630,ALOPECIA (CAPITIS) TOTAL,A
L631,ALOPECIA UNIVERSAL,A
L632,OFIASIS,A
L638,OTRAS ALOPECIAS AREATAS,A
L639,ALOPECIA AREATA. NO ESPECIFICADA,A
L640,ALOPECIA ANDROGENA. INDUCIDA POR DROGAS,A
L648,OTRAS ALOPECIAS ANDROGENAS,A
L649,ALOPECIA ANDROGENA. NO ESPECIFICADA,A
L650,PERDIDA CAPILAR TELOGENA,A
L651,PERDIDA CAPILAR ANAGENA,A
L652,ALOPECIA MUCINOSA,A
L658,OTRAS PERDIDAS ESPECIFICADAS NO CICATRICIALES DEL PELO,A
L659,PERDIDA NO CICATRICIAL DEL PELO. SIN OTRA ESPECIFICACION,A
L660,SEUDOPELADA,A
L661,LIQUEN PLANO PILARIS,A
L662,FOLICULITIS DECALVANTE,A
L663,PERIFOLICULITIS CAPITIS ABSCEDENS,A
L664,FOLICULITIS ULERITEMATOSA RETICULADA,A
L668,OTRAS ALOPECIAS CICATRICIALES,A
L669,ALOPECIA CICATRICIAL. NO ESPECIFICADA,A
L670,TRICORREXIS NUDOSA,A
L671,VARIACION DEL COLOR DEL PELO,A
L678,OTRAS ANORMALIDADES DEL TALLO Y DEL COLOR DEL PELO,A
L679,ANORMALIDAD NO ESPECIFICADA DEL TALLO Y DEL COLOR DEL PELO,A
L680,HIRSUTISMO,A
L681,HIPERTRICOSIS LANUGINOSA ADQUIRIDA,A
L682,HIPERTRICOSIS LOCALIZADA,A
L683,POLITRIQUIA,A
L688,OTRAS HIPERTRICOSIS,A
L689,HIPERTRICOSIS. NO ESPECIFICADA,A
L700,ACNE VULGAR,A
L701,ACNE CONGLOBADO,A
L702,ACNE VARIOLIFORME,A
L703,ACNE TROPICAL,A
L704,ACNE INFANTIL,A
L705,ACNE EXCORIADO DE LA MUJER JOVEN,F
L708,OTROS ACNES,A
L709,ACNE. NO ESPECIFICADO,A
L710,DERMATITIS PERIBUCAL,A
L711,RINOFIMA,A
L718,OTRAS ROSACEAS,A
L719,ROSACEA. NO ESPECIFICADA,A
L720,QUISTE EPIDERMICO,A
L721,QUISTE TRICODERMICO,A
L722,ESTEATOCISTOMA MULTIPLE,A
L728,OTROS QUISTES FOLICULARES DE LA PIEL Y DEL TEJIDO SUBCUTANEO,A
L729,QUISTE FOLICULAR DE LA PIEL Y DEL TEJIDO SUBCUTANEO. SIN OTRA ESPECIFICACION,A
L730,ACNE QUELOIDE,A
L731,SEUDOFOLICULITIS DE LA BARBA,A
L732,HIDRADENITIS SUPURATIVA,A
L738,OTROS TRASTORNOS FOLICULARES ESPECIFICADOS,A
L739,TRASTORNO FOLICULAR. NO ESPECIFICADO,A
L740,MILIARIA RUBRA,A
L741,MILIARIA CRISTALINA,A
L742,MILIARIA PROFUNDA,A
L743,MILIARIA. NO ESPECIFICADA,A
L744,ANHIDROSIS,A
L748,OTROS TRASTORNOS SUDORIPAROS ECRINOS,A
L749,TRASTORNO SUDORIPARO ECRINO. NO ESPECIFICADO,A
L750,BROMHIDROSIS,A
L751,CROMHIDROSIS,A
L752,MILIARIA APOCRINA,A
L758,OTROS TRASTORNOS SUDORIPAROS APOCRINOS,A
L759,TRASTORNO SUDORIPARO APOCRINO. NO ESPECIFICADO,A
L80X,VITILIGO,A
L810,HIPERPIGMENTACION POSTINFLAMATORIA,A
L811,CLOASMA,A
L812,EFELIDE,A
L813,MANCHAS CAFE CON LECHE,A
L814,OTROS TIPOS DE HIPERPIGMENTACION MELANODERMICA,A
L815,LEUCODERMIA. NO CLASIFICADA EN OTRA PARTE,A
L816,OTROS TRASTORNOS DE DISMINUCION DE LA FORMACION DE LA MELANINA,A
L817,DERMATOSIS PURPURICA PIGMENTADA,A
L818,OTROS TRASTORNOS ESPECIFICADOS DE LA PIGMENTACION,A
L819,TRASTORNO DE LA PIGMENTACION. NO ESPECIFICADO,A
L82X,QUERATOSIS SEBORREICA,A
L83X,ACANTOSIS NIGRICANS,A
L84X,CALLOS Y CALLOSIDADES,A
L850,ICTIOSIS ADQUIRIDA,A
L851,QUERATOSIS [QUERATODERMIA] PALMAR Y PLANTAR ADQUIRIDA,A
L852,QUERATOSIS PUNCTATA (PALMAR Y PLANTAR),A
L853,XEROSIS DEL CUTIS,A
L858,OTROS ENGROSAMIENTOS EPIDERMICOS ESPECIFICADOS,A
L859,ENGROSAMIENTO EPIDERMICO. NO ESPECIFICADO,A
L86X,QUERATODERMA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
L870,QUERATOSIS FOLICULAR Y PARAFOLICULAR PENETRANTE DEL CUTIS [KYRLE],A
L871,COLAGENOSIS PERFORANTE REACTIVA,A
L872,ELASTOSIS SERPIGINOSA PERFORANTE,A
L878,OTROS TRASTORNOS DE LA ELIMINACION TRANSEPIDERMICA,A
L879,TRASTORNO DE LA ELIMINACION TRANSEPIDERMICA. NO ESPECIFICADO,A
L88X,PIODERMA GANGRENOSO,A
L890,ULCERA DE DECUBITO Y POR ÁREA DE PRESION. ETAPA I,A
L891,ULCERA DE DECUBITO. ETAPA II,A
L892,ULCERA DE DECUBITO. ETAPA III,A
L893,ULCERA DE DECUBITO. ETAPA IV,A
L899,ULCERA DE DECUBITO Y POR ÁREA DE PRESION. NO ESPECIFICADA,A
L89X,ULCERA DE DECUBITO,A
L900,LIQUEN ESCLEROSO Y ATROFICO,A
L901,ANETODERMIA DE SCHWENINGER-BUZZI,A
L902,ANETODERMIA DE JADASSOHN-PELLIZZARI,A
L903,ATROFODERMA DE PASINI Y PRERINI,A
L904,ACRODERMATITIS CRONICA ATROFICA,A
L905,FIBROSIS Y AFECCIONES CICATRICIALES DE LA PIEL,A
L906,ESTRIAS ATROFICAS,A
L908,OTROS TRASTORNOS ATROFICOS DE LA PIEL,A
L909,TRASTORNO ATROFICO DE LA PIEL. NO ESPECIFICADO,A
L910,CICATRIZ HIPERTROFICA,A
L918,OTROS TRASTORNOS HIPERTROFICOS DE LA PIEL,A
L919,TRASTORNO HIPERTROFICO DE LA PIEL. NO ESPECIFICADO,A
L920,GRANULOMA ANULAR,A
L921,NECROBIOSIS LIPIDICA. NO CLASIFICADA EN OTRA PARTE,A
L922,GRANULOMA FACIAL (GRANULOMA EOSINOFILO DE LA PIEL),A
L923,GRANULOMA POR CUERPO EXTRANO EN LA PIEL Y EN EL TEJIDO SUBCUTANEO,A
L928,OTROS TRASTORNOS GRANULOMATOSOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO,A
L929,TRASTORNO GRANULOMATOSO DE LA PIEL Y DEL TEJIDO SUBCUTANEO. NO ESPECIFICADO,A
L930,LUPUS ERITEMATOSO DISCOIDE,A
L931,LUPUS ERITEMATOSO CUTANEO SUBAGUDO,A
L932,OTROS LUPUS ERITEMATOSOS LOCALIZADOS,A
L940,ESCLERODERMA LOCALIZADO [MORFEA],A
L941,ESCLERODERMA LINEAL,A
L942,CALCINOSIS DE LA PIEL,A
L943,ESCLERODACTILIA,A
L944,PAPULAS DE GOTTRON,A
L945,POIQUILODERMIA VASCULAR ATROFICA,A
L946,AINHUM,A
L948,OTROS TRASTORNOS LOCALIZADOS ESPECIFICADOS DEL TEJIDO CONJUNTIVO,A
L949,TRASTORNO LOCALIZADO DEL TEJIDO CONJUNTIVO. NO ESPECIFICADO,A
L950,VASCULITIS LIVEDOIDE,A
L951,ERITEMA ELEVATUM DIUTINUM,A
L958,OTRAS VASCULITIS LIMITADAS A LA PIEL,A
L959,VASCULITIS LIMITADA A LA PIEL. SIN OTRA ESPECIFICACION,A
L97X,ULCERA DE MIEMBRO INFERIOR. NO CLASIFICADA EN OTRA PARTE,A
L980,GRANULOMA PIOGENO,A
L981,DERMATITIS FACTICIA,A
L982,DERMATOSIS NEUTROFILA FEBRIL [SWEET],A
L983,CELULITIS EOSINOFILIA [WELLS],A
L984,ULCERA CRONICA DE LA PIEL. NO CLASIFICADA EN OTRA PARTE,A
L985,MUCINOSIS DE LA PIEL,A
L986,OTROS TRASTORNOS INFILTRATIVOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO,A
L987,PIEL Y TEJIDO SUBCUTANEO EXCESIVA Y REDUNDANTE,A
L988,OTROS TRASTORNOS ESPECIFICADOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO,A
L989,TRASTORNO DE LA PIEL Y DEL TEJIDO SUBCUTANEO. NO ESPECIFICADO,A
L990,AMILOIDOSIS DE LA PIEL,A
L998,OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
M000,ARTRITIS Y POLIARTRITIS ESTAFILOCOCICA,A
M001,ARTRITIS Y POLIARTRITIS NEUMOCOCICA,A
M002,OTRAS ARTRITIS Y POLIARTRITIS ESTREPTOCOCICAS,A
M008,ARTRITIS Y POLIARTRITIS DEBIDAS A OTROS AGENTES BACTERIANOS ESPECIFICADOS,A
M009,ARTRITIS PIOGENA. NO ESPECIFICADA,A
M010,ARTRITIS MENINGOCOCICA,A
M011,ARTRITIS TUBERCULOSA,A
M012,ARTRITIS EN LA ENFERMEDAD DE LYME,A
M013,ARTRITIS EN OTRAS ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE,A
M014,ARTRITIS EN RUBEOLA,A
M015,ARTRITIS EN OTRAS ENFERMEDADES VIRALES CLASIFICADAS EN OTRA PARTE,A
M016,ARTRITIS EN MICOSIS,A
M018,ARTRITIS EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE,A
M020,ARTROPATIA CONSECUTIVA A DERIVACION INTESTINAL,A
M021,ARTROPATIA POSTDISENTERICA,A
M022,ARTROPATIA POSTINMUNIZACION,A
M023,ENFERMEDAD DE REITER,A
M028,OTRAS ARTROPATIAS REACTIVAS,A
M029,ARTROPATIA REACTIVA. NO ESPECIFICADA,A
M030,ARTRITIS POSTMENINGOCOCICA,A
M031,ARTROPATIA POSTINFECCIOSA EN SIFILIS,A
M032,OTRAS ARTROPATIAS POSTINFECCIOSAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
M036,ARTROPATIA REACTIVA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,A
M050,SINDROME DE FELTY,A
