224105,SINUSOTOMIA FRONTAL VIA CORONAL CON CRANEALIZACION DE SENO FRONTAL,Z
224106,SINUSOTOMIA FRONTAL VIA CILIAR CON TREPANACION OBLITERATIVA  SIN COLGAJO OSTEOPLASTICO,Z
224107,SINUSOTOMIA FRONTAL VIA CILIAR CON TREPANACION OBLITERATIVA  CON COLGAJO OSTEOPLASTICO,Z
226301,FRONTO ETMOIDECTOMIA EXTERNA,Z
226302,ETMOIDECTOMIA EXTERNA,Z
226303,ETMOIDECTOMIA ANTERIOR TRANSNASAL,Z
226304,ETMOIDECTOMIA ANTERIOR VIA TRANSNASAL ENDOSCOPICA,Z
226305,ETMOIDECTOMIA ANTERIOR Y POSTERIOR VIA TRANSNASAL ENDOSCOPICA,Z
227101,CIERRE DE FISTULA OROANTRAL,Z
243106,ESCISION DE LESION MALIGNA DE ENCIA CON VACIAMIENTO GANGLIONAR  PISO DE BOCA O LENGUA CON CIERRE PRIMARIO,Z
243107,ESCISION DE LESION MALIGNA DE ENCIA CON VACIAMIENTO GANGLIONAR  PISO DE BOCA O LENGUA Y RECONSTRUCCION CON COLGAJO PEDICULADO,Z
243108,ESCISION DE LESION MALIGNA DE ENCIA CON VACIAMIENTO GANGLIONAR  RESECCION OSEA Y RECONSTRUCCION CON PLACA Y COLGAJO PEDICULADO,Z
243109,ESCISION DE LESION MALIGNA DE ENCIA CON VACIAMIENTO GANGLIONAR  RESECCION OSEA Y RECONSTRUCCION CON PLACA Y COLGAJO LIBRE,Z
244104,RESECCION DE TUMOR BENIGNO O MALIGNO ODONTOGENICO Y RECONSTRUCCION INMEDIATA CON INJERTO OSEO LIBRE,Z
244105,RESECCION DE TUMOR BENIGNO O MALIGNO ODONTOGENICO Y RECONSTRUCCION CON COLGAJO OSEO PEDICULADO,Z
244106,RESECCION DE TUMOR BENIGNO O MALIGNO ODONTOGENICO Y RECONSTRUCCION CON COLGAJO OSEO LIBRE,Z
244107,RESECCION DE TUMOR BENIGNO O MALIGNO ODONTOGENICO Y RECONSTRUCCION CON PLACA,Z
249100,CONTROL DE HEMORRAGIA DENTAL POS QUIRURGICA SOD,Z
252501,HEMIGLOSECTOMIA CON CIERRE PRIMARIO,Z
263101,PAROTIDECTOMIA DEL LOBULO SUPERFICIAL,Z
263201,PAROTIDECTOMIA TOTAL,Z
263203,SIALOADENECTOMIA DE GLANDULA SUBLINGUAL,Z
263204,SIALOADENECTOMIA DE GLANDULA SUBMAXILAR (SUBMANDIBULAR),Z
263206,SIALOADENECTOMIA DE GLANDULAS SALIVALES MENORES,Z
270101,INCISION Y DRENAJE INTRAORAL EN CAVIDAD BUCAL,Z
270102,INCISION Y DRENAJE EXTRAORAL EN CAVIDAD BUCAL,Z
272101,BIOPSIA DE UVULA,Z
272102,BIOPSIA INCISIONAL DE PALADAR,Z
272103,BIOPSIA ESCISIONAL DE PALADAR,Z
272301,BIOPSIA INCISIONAL DE LABIO,Z
272302,BIOPSIA ESCISIONAL DE LABIO,Z
272401,BIOPSIA POR ASPIRACION CON AGUJA FINA EN CAVIDAD ORAL [BACAF],Z
273201,ESCISION O RESECCION O ABLACION DE LESION PROFUNDA DE PALADAR OSEO,Z
273203,PALATECTOMIA DE PALADAR OSEO PARCIAL,Z
274201,RESECCION PARCIAL DE LABIO,Z
274202,RESECCION PARCIAL DE LABIO CON ROTACION DE COLGAJO,Z
274301,RESECCION DE LESION BENIGNA DE LA MUCOSA ORAL  HASTA DE DOS CENTIMETROS DE DIAMETRO,Z
274302,RESECCION DE LESION BENIGNA DE LA MUCOSA ORAL  MAYOR DE DOS CENTIMETROS DE DIAMETRO,Z
274303,RESECCION DE TUMOR MALIGNO DE MUCOSA ORAL,Z
274304,RESECCION DE TUMOR MALIGNO DE MUCOSA ORAL  CON COLGAJO LOCAL O A DISTANCIA,Z
274305,RESECCION DE LESION EN MUCOSA ORAL,Z
274400,RESECCION DE FOSETAS LABIALES SOD,Z
274901,REMOCION DE CUERPO EXTRAÑO EN TEJIDOS BLANDOS DE LA BOCA,Z
274902,RESECCION DE BRIDAS INTRAORALES,Z
275103,SUTURA O PLASTIA EN AVULSION DE LABIOS,Z
275104,SUTURA DE LACERACION EN LABIOS,Z
275201,ESTOMATORRAFIA (SUTURA DE HERIDA EN MUCOSA ORAL) DE MENOS DE CINCO CENTIMETROS,Z
275202,ESTOMATORRAFIA (SUTURA DE HERIDA EN MUCOSA ORAL) DE MAS DE CINCO CENTIMETROS,Z
275203,SUTURA DE LACERACION DE OTRA PARTE DE LA BOCA,Z
275301,RESECCION INTRAORAL DE FISTULA DE BOCA,Z
275302,RESECCION EXTRAORAL DE FISTULA DE BOCA,Z
275303,CIERRE DE FISTULA OROSINUSAL U ORONASAL  CON COLGAJO PALATINO  LINGUAL O BUCAL,Z
275304,CIERRE DE FISTULA OROSINUSAL CON SINUSOTOMIA  CON O SIN REMOCION DE CUERPO EXTRAÑO O COLGAJO PALATINO  LINGUAL O BUCAL,Z
275305,ALARGAMIENTO DE PALADAR CON COLGAJO EN ISLA,Z
275500,INJERTO DE PIEL DE GROSOR TOTAL APLICADO AL LABIO Y CAVIDAD BUCAL SOD,Z
275701,INJERTO DE PIEL EN LABIOS CON ADHESION DE COLGAJO PEDICULADO,Z
275801,PROFUNDIZACION O DESCENSO DE PISO DE BOCA CON DESINSERCION DE MILOHIODEO O GENIHIODEO,Z
275901,PROFUNDIZACION DE SURCO VESTIBULAR CON INJERTO MUCOSO,Z
275902,PROFUNDIZACION DE SURCO VESTIBULAR CON INJERTO CUTANEO,Z
276101,PALATORRAFIA EN Z,Z
276102,SUTURA DE LACERACION DE PALADAR,Z
276201,CORRECCION DE HENDIDURA ALVEOLOPALATINA,Z
276202,CIERRE DE HENDIDURA ALVEOLAR CON INJERTO,Z
276203,CIERRE DE HENDIDURA ALVEOLAR SIN INJERTO,Z
276204,RECONSTRUCCION DE BOVEDA PALATINA MEDIANTE COLGAJOS PEDICULADOS,Z
276205,CORRECCION DE FISURA PALATINA  CON COLGAJO VOMERIANO,Z
276206,INJERTO OSEO DE PALADAR O ALVEOLAR,Z
276207,UVULO-PALATO-FARINGOPLASTIA,Z
277201,RESECCION PARCIAL DE UVULA,Z
277301,UVULORRAFIA,Z
278200,INCISION DE CAVIDAD BUCAL  ESTRUCTURA NO ESPECIFICADA SOD,Z
278301,CIERRE VELOFARINGEO CON COLGAJO FARINGEO,Z
289101,BIOPSIA POR ASPIRACION CON AGUJA FINA DE AMIGDALAS Y ADENOIDES,Z
289102,BIOPSIA DE AMIGDALAS O VEGETACIONES ADENOIDES,Z
295101,FARINGOPLASTIA CON COLGAJO FARINGEO,Z
295201,RESECCION DE FISTULA BRANQUIAL,Z
295202,RESECCION DE QUISTE BRANQUIAL,Z
295601,FARINGOPLASTIA POR IMPLANTE FARINGEO,Z
295602,FARINGOPLASTIA POR COLGAJO FARINGEO DE BASE SUPERIOR O INFERIOR,Z
295603,FARINGOPLASTIA POR ENTRECRUZAMIENTO DE PILARES,Z
295604,FARINGOPLASTIA CON COLGAJO FARINGEO POSTERIOR Y DESPLAZAMIENTO DE PILARES [TECNICA HOGAN],Z
300101,RESECCION DE QUISTE VENTRICULAR VIA ABIERTA,Z
300103,RESECCION DE QUISTE VENTRICULAR (MARSUPIALIZACION) VIA ENDOSCOPICA,Z
300201,RESECCION DE LESION EN LARINGE VIA ABIERTA,Z
300202,RESECCION ENDOSCOPICA DE LESION EN LARINGE,Z
300401,RESECCION O LISIS DE ADHERENCIAS DE LARINGE VIA ANTERIOR [LARINGOFISURA],Z
300402,RESECCION O LISIS DE ADHERENCIAS DE LARINGE VIA ENDOSCOPICA,Z
317202,CIERRE DE FISTULA TRAQUEO CUTANEA,Z
319201,DILATACION DE LA TRAQUEA VIA ENDOSCOPICA,Z
320001,RESECCION O ABLACION DE LESION O TEJIDO EN BRONQUIO CON BRONCOPLASTIA VIA ABIERTA,Z
320201,RESECCION DE LESION EN BRONQUIO VIA ENDOSCOPICA,Z
322101,RESECCION DE BULAS PULMONARES VIA ABIERTA,Z
326101,DISECCION EN (BLOQUE) DE BRONQUIO  LOBULO DE PULMON  PLEJO BRAQUIAL  ESTRUCTURA INTERCOSTAL  COSTILLA (APOFISIS TRANSVERSAL) Y NERVIOS SIMPATICOS,Z
332201,BRONCOSCOPIA CON LAVADO BRONQUIAL,Z
332202,BRONCOSCOPIA,Z
332205,BRONCOSCOPIA CON APLICACION O RETIRO DE FUENTE RADIACTIVA,Z
332601,BIOPSIA CERRADA DE PULMON VIA PERCUTANEA,Z
332801,BIOPSIA DE PULMON VIA ABIERTA,Z
341101,EXPLORACION Y DRENAJE DE MEDIASTINO POR MEDIASTINOTOMIA,Z
348202,SUTURA DE LACERACION DIAFRAGMATICA VIA ABDOMINAL POR LAPAROTOMIA,Z
348301,FISTULECTOMIA TORACICOABDOMINAL,Z
348302,FISTULECTOMIA TORACICOGASTRICA,Z
348303,FISTULECTOMIA TORACICOINTESTINAL,Z
353901,COLOCACION DE PARCHE U HOMOINJERTO SUPRAVALVULAR,Z
358401,REPARO DE LA DOBLE SALIDA DEL VENTRICULO IZQUIERDO Y CONEXION ATRIOVENTRICULAR CONCORDANTE O DISCORDANTE,Z
358402,REPARO DE LA DOBLE SALIDA DEL VENTRICULO IZQUIERDO CON ESTENOSIS PULMONAR,Z
358403,REPARO DE LA DOBLE SALIDA DEL VENTRICULO IZQUIERDO E HIPOPLASIA DEL VENTRICULO DERECHO,Z
358502,REPARO DE DEFECTO VENTRICULAR POR TRANSPOSICION AORTA CABALGAMIENTO PULMONAR [CORAZON DE TAUSSING-BING],Z
358504,REPARO DEL DOBLE TRACTO DE SALIDA DEL VENTRICULO DERECHO CON CIV NO RELACIONADA,Z
358506,REPARO DEL DOBLE TRACTO DE SALIDA DEL VENTRICULO DERECHO CON L- MALPOSICION DE LA AORTA,Z
358507,REPARO DEL DOBLE TRACTO DE SALIDA DEL VENTRICULO DERECHO Y CONEXION ATRIOVENTRICULAR DISCORDANTE,Z
359501,REINTERVENCION POR SANGRADO  DESPUES DE CIRUGIA CARDIACA,Z
360101,ANGIOPLASTIA CORONARIA PERCUTANEA (ENDOVASCULAR) UNO O DOS VASOS,Z
360102,ANGIOPLASTIA CORONARIA PERCUTANEA (ENDOVASCULAR) MAS DE DOS VASOS,Z
360104,ANGIOPLASTIA CORONARIA PERCUTANEA (ENDOVASCULAR) DE TRONCO PRINCIPAL,Z
360105,ANGIOPLASTIA CORONARIA PERCUTANEA (ENDOVASCULAR) DE BIFURCACION,Z
360106,ANGIOPLASTIA CORONARIA PERCUTANEA (ENDOVASCULAR) DE OCLUSION TOTAL CRONICA,Z
360201,ANGIOPLASTIA CORONARIA PERCUTANEA (ENDOVASCULAR) CON INFUSION DE SUSTANCIA TERAPEUTICA UNO O DOS VASOS,Z
360202,ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA SIMPLE CON INFUSION DE SUSTANCIA TERAPEUTICA MAS DE DOS VASOS,Z
360300,ANGIOPLASTIA DE ARTERIA CORONARIA CON TORAX ABIERTO SOD,Z
360401,INFUSION ARTERIAL INTRACORONARIA DE TROMBOLITICOS VIA PERCUTANEA (ENDOVASCULAR),Z
360600,INSERCION O IMPLANTE DE PROTESIS INTRACORONARIA (STENT) SOD,Z
372101,ESTUDIO ELECTROFISIOLOGICO CARDIACO CONVENCIONAL DEL LADO DERECHO DEL CORAZON VIA PERCUTANEA (ENDOVASCULAR),Z
372301,ESTUDIO ELECTROFISIOLOGICO CARDIACO COMBINADO DERECHO E IZQUIERDO DEL CORAZON VIA PERCUTANEA (ENDOVASCULAR),Z
372401,ESTUDIO ELECTROFISIOLOGICO CARDIACO COMBINADO DERECHO E IZQUIERDO CON PUNCION TRANSEPTAL EN CORAZON VIA PERCUTANEA (ENDOVASCULAR),Z
372501,ESTUDIO ELECTROFISIOLOGICO CARDIACO TRANS ESOFAGICO,Z
372502,ESTUDIO ELECTROFISIOLOGICO EPICARDICO VIA PERCUTANEA,Z
373303,RESECCION ENDOMIOCARDICA,Z
374100,CARDIORRAFIA SOD,Z
374300,PERICARDIORRAFIA SOD,Z
376100,IMPLANTACION DE BALON CONTRAPULSACION SOD,Z
376400,EXTRACCION O RETIRO DE SISTEMA DE ASISTENCIA CARDIACA SOD,Z
380110,TROMBOLISIS FARMACOLOGICA DE VASOS INTRACRANEALES VIA ENDOVASCULAR,Z
380201,TROMBOEMBOLECTOMIA ARTERIAL DE ZONA I Y III DE CUELLO,Z
380202,TROMBOEMBOLECTOMIA ARTERIAL DE ZONA II DE CUELLO,Z
380203,TROMBOEMBOLECTOMIA VENOSA DE ZONA I Y III DE CUELLO,Z
380204,TROMBOEMBOLECTOMIA VENOSA DE ZONA II DE CUELLO,Z
380210,TROMBOLISIS DE VASOS DE CABEZA Y CUELLO  VIA ENDOVASCULAR,Z
380301,TROMBOLECTOMIA DE ARTERIA SUBCLAVIA,Z
380302,TROMBOEMBOLECTOMIA ARTERIAL AXILAR,Z
380303,TROMBOEMBOLECTOMIA ARTERIAL DE BRAZO O ANTEBRAZO,Z
380304,TROMBOLECTOMIA DE VENA SUBCLAVIA,Z
380305,TROMBOEMBOLECTOMIA VENOSA AXILAR,Z
380306,TROMBOEMBOLECTOMIA VENOSA DE BRAZO O ANTEBRAZO,Z
380500,TROMBOEMBOLECTOMIA EN VASOS ESPINALES SOD,Z
380601,TROMBOEMBOLECTOMIA DE ARTERIAS ABDOMINALES VIA ABIERTA,Z
380602,TROMBOLISIS ARTERIAL ABDOMINAL VIA ENDOVASCULAR,Z
380701,TROMBOEMBOLECTOMIA DE VENAS ABDOMINALES  VIA ABIERTA,Z
380702,TROMBOLISIS VENOSA ABDOMINAL  VIA ENDOVASCULAR,Z
380801,TROMBOEMBOLECTOMIA SUPRAPATELAR DE ARTERIAS EN MIEMBROS INFERIORES,Z
380802,TROMBOEMBOLECTOMIA INFRAPATELAR DE ARTERIAS EN MIEMBROS INFERIORES,Z
380810,TROMBOLISIS DE ARTERIAS DE MIEMBROS INFERIORES  VIA ENDOVASCULAR,Z
380901,TROMBOEMBOLECTOMIA SUPRAPATELAR VENOSA PROFUNDA,Z
380902,TROMBOEMBOLECTOMIA INFRAPATELAR VENOSA PROFUNDA,Z
380903,TROMBOEMBOLECTOMIA VENOSA SUPERFICIAL EN MIEMBROS INFERIORES,Z
380910,TROMBOLISIS DE VENAS DE MIEMBROS INFERIORES  VIA ENDOVASCULAR,Z
381101,ENDARTERECTOMIA DE LA CAROTIDA INTERNA PORCION INTRACRANEAL,Z
381203,ENDARTERECTOMIA DE ARTERIA CAROTIDA INTERNA O ARTERIA VERTEBRAL PORCION CERVICAL,Z
381301,ENDARTERECTOMIA DE SUBCLAVIA,Z
381302,ENDARTERECTOMIA AXILAR,Z
381303,ENDARTERECTOMIA DE VASOS DE BRAZO O ANTEBRAZO,Z
381400,ENDARTERECTOMIA DE AORTA SOD,Z
381501,TROMBOENDARTERECTOMIA PULMONAR,Z
381601,ENDARTERECTOMIA RENAL,Z
381602,ENDARTERECTOMIA CELIACA O MESENTERICA,Z
381603,ENDARTERECTOMIA AORTOILIACA,Z
381801,ENDARTERECTOMIA SUPRAPATELAR,Z
381802,ENDARTERECTOMIA INFRAPATELAR,Z
382101,BIOPSIA DE VASO SANGUINEO SUPERFICIAL,Z
382102,BIOPSIA DE VASO SANGUINEO PROFUNDO,Z
383301,RESECCION CON ANASTOMOSIS PRIMARIA DE SUBCLAVIA,Z
383302,RESECCION CON ANASTOMOSIS PRIMARIA AXILAR,Z
383303,RESECCION CON ANASTOMOSIS TERMINO-TERMINAL EN BRAZO O ANTEBRAZO,Z
383601,RESECCION CON ANASTOMOSIS TERMINO-TERMINAL DE ARTERIAS ABDOMINALES,Z
383701,RESECCION CON ANASTOMOSIS TERMINO-TERMINAL DE VENAS ABDOMINALES,Z
383801,ANASTOMOSIS ARTERIAL PRIMARIA SUPRAPATELAR,Z
383802,ANASTOMOSIS ARTERIAL PRIMARIA INFRAPATELAR,Z
383901,ANASTOMOSIS VENOSA TERMINO TERMINAL SUPRAPATELAR,Z
383902,ANASTOMOSIS VENOSA TERMINO TERMINAL INFRAPATELAR,Z
384301,RESECCION DE SUBCLAVIA CON INTERPOSICION DE INJERTO O PROTESIS,Z
384302,RESECCION AXILAR CON INTERPOSICION DE INJERTO O PROTESIS,Z
384303,RESECCION EN BRAZO O ANTEBRAZO CON INTERPOSICION DE INJERTO O PROTESIS,Z
385112,OCLUSION DE ANEURISMA INTRACRANEAL POR VIA ENDOVASCULAR,Z
385113,REVASCULARIZACION CEREBRAL,Z
385120,OCLUSION DE LESION EN VASOS INTRACRANEALES  VIA ENDOVASCULAR,Z
385201,OCLUSION  PINZAMIENTO O LIGADURA ARTERIAL EN ZONA I Y III DEL CUELLO,Z
385202,OCLUSION  PINZAMIENTO O LIGADURA ARTERIAL EN ZONA II DEL CUELLO,Z
385203,OCLUSION  PINZAMIENTO O LIGADURA VENOSA EN ZONA I Y III DEL CUELLO,Z
385204,OCLUSION  PINZAMIENTO O LIGADURA VENOSA EN ZONA II DEL CUELLO,Z
385220,OCLUSION DE VASOS DE CABEZA Y CUELLO  VIA ENDOVASCULAR,Z
385301,OCLUSION  PINZAMIENTO O LIGADURA DE SUBCLAVIA,Z
385302,OCLUSION  PINZAMIENTO O LIGADURA DE VASOS AXILARES,Z
385303,OCLUSION  PINZAMIENTO O LIGADURA DE VASOS EN BRAZO O ANTEBRAZO,Z
385320,OCLUSION DE VASOS DE MIEMBROS SUPERIORES  VIA ENDOVASCULAR,Z
385401,OCLUSION DE VASOS ESPINALES  VIA ENDOVASCULAR,Z
385520,OCLUSION DE VASOS TORACICOS VIA PERCUTANEA (ENDOVASCULAR),Z
385601,OCLUSION  PINZAMIENTO O LIGADURA DE ARTERIAS ABDOMINALES  UNA O MAS (SELECTIVAS),Z
385620,OCLUSION DE ARTERIAS ABDOMINALES  VIA ENDOVASCULAR,Z
385701,OCLUSION  PINZAMIENTO O LIGADURA DE VENAS INTRAABDOMINALES  UNA O MAS,Z
385720,OCLUSION DE VENAS INTRAABDOMINALES  VIA ENDOVASCULAR,Z
385801,OCLUSION  PINZAMIENTO O LIGADURA ARTERIAL SUPRAPATELAR,Z
385802,OCLUSION  PINZAMIENTO O LIGADURA ARTERIAL INFRAPATELAR,Z
385820,OCLUSION DE ARTERIAS DE MIEMBROS INFERIORES  VIA PERCUTANEA O ENDOVASCULAR,Z
385901,OCLUSION  PINZAMIENTO O LIGADURA VENOSA PROFUNDA SUPRAPATELAR,Z
385902,OCLUSION  PINZAMIENTO O LIGADURA VENOSA PROFUNDA INFRAPATELAR,Z
385903,LIGADURA DE PERFORANTES,Z
385904,LIGADURA ENDOSCOPICA DE PERFORANTES,Z
385920,OCLUSION DE VENAS DE MIEMBROS INFERIORES  VIA ENDOVASCULAR,Z
386100,TOMA DE INJERTO ARTERIAL SOD,Z
386200,TOMA DE INJERTO VENOSO SOD,Z
386401,EXTRACCION DE CUERPO EXTRAÑO INTRAVASCULAR (ARTERIAL) (VENOSO)  VIA ABIERTA,Z
386402,EXTRACCION DE CUERPO EXTRAÑO INTRAVASCULAR (ARTERIAL) (VENOSO)  VIA ENDOVASCULAR [PERCUTANEA],Z
387300,INSERCION DE IMPLANTE O FILTRO EN VENA CAVA (SUPERIOR O INFERIOR) SOD,Z
388701,LIGADURA O ESCISION DE VENAS VARICOSAS ABDOMINALES,Z
388801,LIGADURA O ESCISION DE VENAS VARICOSAS PELVICAS POR LAPAROTOMIA,Z
388802,LIGADURA O ESCISION DE VENAS VARICOSAS PELVICAS POR LAPAROSCOPIA,Z
388901,LIGADURA Y ESCISION SUPRAPATELAR DE VENAS VARICOSAS,Z
388902,LIGADURA Y ESCISION INFRAPATELAR DE VENAS VARICOSAS,Z
388903,LIGADURA Y ESCISION DE SAFENA EXTERNA,Z
388904,LIGADURA Y ESCISION DE SAFENA INTERNA,Z
389001,COLOCACION DE CATETER ARTERIAL FEMORAL O BRAQUIAL,Z
389002,COLOCACION CATETER ARTERIAL PERIFERICO (LINEA ARTERIAL),Z
389101,IMPLANTACION DE CATETER VENOSO SUBCLAVIO O FEMORAL,Z
389102,INSERCION DE CATETER YUGULAR,Z
389103,INSERCION DE CATETER CENTRAL  VIA PERIFERICA,Z
389200,CATETERISMO DE VENA UMBILICAL SOD,Z
389300,CATETERISMO O CANALIZACION DE VENA SOD,Z
389400,DISECCION VENOSA SOD,Z
389500,CATETERIZACION VENOSA PARA DIALISIS RENAL SOD,Z
389900,FLEBOTOMIA TERAPEUTICA SOD,Z
390100,ANASTOMOSIS (INJERTO) AORTA ASCENDENTE-ARTERIA PULMONAR SOD,Z
390200,ANASTOMOSIS (INJERTO) SUBCLAVIA-PULMONAR SOD,Z
392202,DERIVACION O PUENTE AXILO-AXILAR,Z
392203,DERIVACION O PUENTE SUBCLAVIO-SUBCLAVIO,Z
392204,DERIVACION O PUENTE AORTO-SUBCLAVIO,Z
392400,DERIVACION AORTA-RENAL SOD,Z
392501,DERIVACION AORTO-FEMORAL,Z
392502,DERIVACION AORTO-ILIACA,Z
392503,DERIVACION O PUENTE ILIO-FEMORAL,Z
392701,FORMACION DE FISTULA AV (PERIFERICA) PARA DIALISIS RENAL,Z
392801,DERIVACION (INJERTO) AXILAR-BRAQUIAL,Z
392802,DERIVACION (INJERTO) O PUENTE FEMORO-PERONEAL,Z
392803,DERIVACION (INJERTO) O PUENTE FEMORO-POPLITEO,Z
392804,DERIVACION (INJERTO) O PUENTE FEMORO-TIBIAL,Z
393201,SUTURA DE ARTERIAS EN ZONA I Y III DEL CUELLO,Z
393202,SUTURA DE ARTERIAS EN ZONA II DEL CUELLO,Z
393203,SUTURA DE VENAS ZONA I Y III DE CUELLO,Z
393204,SUTURA DE VENAS ZONA II DE CUELLO,Z
393210,SUTURA DE VASOS DE CUERO CABELLUDO,Z
393301,SUTURA DE ARTERIA SUBCLAVIA,Z
393302,SUTURA DE ARTERIA AXILAR,Z
393303,SUTURA DE ARTERIA DE BRAZO O ANTEBRAZO,Z
393304,SUTURA DE VENA AXILAR,Z
393305,SUTURA DE VENA DE BRAZO O ANTEBRAZO,Z
393306,RECONSTRUCCION DE VASOS PERIFERICOS EN MANO,Z
393600,SUTURA DE ARTERIAS ABDOMINALES SOD,Z
393700,SUTURA DE VENAS ABDOMINALES SOD,Z
394100,CONTROL DE HEMORRAGIA DESPUES DE CIRUGIA VASCULAR SOD,Z
394200,REVISION DE DERIVACION (FISTULA) ARTERIOVENOSA PARA DIALISIS RENAL SOD,Z
394300,EXTRACCION DE DERIVACION ARTERIOVENOSA PARA DIALISIS RENAL SOD,Z
395010,ANGIOPLASTIA DE VASOS INTRACRANEALES CON O SIN IMPLANTE DE DISPOSITIVO,Z
395018,ANGIOPLASTIA DE VASOS CERVICALES CON O SIN IMPLANTE DE DISPOSITIVO,Z
395030,ANGIOPLASTIA CON BALON DE VASOS DE MIEMBROS SUPERIORES,Z
395031,ANGIOPLASTIA CON BALON DE VASOS DE MIEMBROS SUPERIORES  CON PROTESIS (STENT) O INJERTO (S) PROTESICO (S),Z
395060,ANGIOPLASTIA O ATERECTOMIA DE VASOS ABDOMINALES CON BALON,Z
395061,ANGIOPLASTIA O ATERECTOMIA DE VASOS ABDOMINALES CON BALON  CON PROTESIS (STENT) O INJERTO (S) PROTESICO (S),Z
395062,ANGIOPLASTIA O ATERECTOMIA DE ARTERIA MESENTERICA,Z
395063,ANGIOPLASTIA O ATERECTOMIA DE ARTERIA RENAL,Z
395080,ANGIOPLASTIA O ATERECTOMIA DE VASOS DE MIEMBROS INFERIORES  CON BALON,Z
395081,ANGIOPLASTIA O ATERECTOMIA DE VASOS DE MIEMBROS INFERIORES  CON BALON  PROTESIS (STENT) O INJERTO (S) PROTESICO (S),Z
395104,ANGIOPLASTIA QUIMICA DE VASOS INTRACRANEALES,Z
395202,REPARACION DE ANEURISMA POR ENVOLTURA [REFORZAMIENTO DE PARED],Z
395205,REPARACION DE ANEURISMA POR OCLUSION VIA PERCUTANEA (ENDOVASCULAR),Z
395301,CIERRE DE FISTULA ARTERIOVENOSA VIA ABIERTA,Z
395302,CIERRE DE FISTULA ARTERIOVENOSA VIA PERCUTANEA (ENDOVASCULAR),Z
396100,CIRCULACION EXTRACORPOREA AUXILIAR PARA CIRUGIA CARDIACA ABIERTA [DERIVACION CARDIOPULMONAR] SOD,Z
397201,EXPLORACION DE ARTERIAS EN CUERO CABELLUDO Y CARA,Z
397202,EXPLORACION DE ARTERIAS ZONA I Y III DE CUELLO,Z
397203,EXPLORACION DE ARTERIAS EN ZONA II DE CUELLO,Z
397204,EXPLORACION DE VENAS EN CUERO CABELLUDO Y CARA,Z
397205,EXPLORACION DE VENA EN ZONA I Y III DEL CUELLO,Z
397206,EXPLORACION DE VENA EN ZONA II DEL CUELLO,Z
397301,EXPLORACION DE ARTERIA SUBCLAVIA,Z
397302,EXPLORACION DE ARTERIA AXILAR,Z
397303,EXPLORACION DE ARTERIA DE BRAZO O ANTEBRAZO,Z
397304,EXPLORACION DE VENA SUBCLAVIA,Z
397305,EXPLORACION DE VENA AXILAR,Z
397306,EXPLORACION DE VENA DE BRAZO O ANTEBRAZO,Z
397400,EXPLORACION DE AORTA ABDOMINAL SOD,Z
397601,EXPLORACION DE ARTERIAS ABDOMINALES,Z
397700,EXPLORACION DE VENAS ABDOMINALES SOD,Z
397801,EXPLORACION ARTERIAL SUPRAPATELAR,Z
397802,EXPLORACION ARTERIAL INFRAPATELAR,Z
397901,EXPLORACION VENOSA SUPRAPATELAR,Z
397902,EXPLORACION VENOSA INFRAPATELAR,Z
399100,LIBERACION DE VASO SANGUINEO (ADHERENCIAS DE HAZ VASCULAR) SOD,Z
399200,INYECCION DE AGENTE ESCLEROSANTE EN VENA (ESCLEROTERAPIA) SOD,Z
399400,SUSTITUCION O REVISION DE CANULA VASO A VASO SOD,Z
399601,PERFUSION DE CUERPO ENTERO EN ASISTENCIA CIRCULATORIA,Z
399602,PERFUSION DE CUERPO ENTERO EN ASISTENCIA RESPIRATORIA,Z
399701,PERFUSION LOCAL (REGIONAL) DIRIGIDA CON CATETER,Z
399802,HEMOFILTRACION VENOVENOSA CONTINUA (CVVH),Z
399803,HEMODIAFILTRACION ARTERIOVENOSA,Z
399901,RETIRO DE CATETER INTRARTERIAL,Z
401101,BIOPSIA DE GANGLIO LINFATICO SUPERFICIAL,Z
402400,ESCISION DE GANGLIO LINFATICO INGUINAL SOD,Z
402500,ESCISION DE HIGROMA QUISTICO DE CUELLO SOD,Z
402600,ESCISION DE LINFANGIOMA DE CUELLO SOD,Z
403000,ESCISION DE GANGLIO LINFATICO REGIONAL EXTENDIDA AL AREA DE DRENAJE LINFATICO  INCLUSO PIEL Y TEJIDO CELULAR SUBCUTANEO SOD,Z
406300,CIERRE DE FISTULA DEL CONDUCTO TORACICO SOD,Z
406500,DERIVACION LINFOVENOSA SOD,Z
406600,LIGADURA (OBLITERACION) EN EL AREA ILIACA SOD,Z
407101,ANASTOMOSIS DE VASOS LINFATICOS DE GRUESO CALIBRE,Z
407200,LINFANGIORRAFIA SOD,Z
407300,LINFANGIOPLASTIA SOD,Z
413101,BIOPSIA POR ASPIRACION DE MEDULA OSEA,Z
413201,BIOPSIA DE BAZO VIA PERCUTANEA,Z
413202,BIOPSIA DE BAZO VIA ABIERTA,Z
419100,ASPIRACION DE MEDULA OSEA DE DONANTE SOD,Z
419200,INYECCION O INFUSION DE MEDULA OSEA SOD,Z
423301,POLIPECTOMIA DE ESOFAGO VIA ENDOSCOPICA,Z
423302,CONTROL DE HEMORRAGIA DE ESOFAGO VIA ENDOSCOPICA,Z
